from;to;value
Електроенергія;Об'єм енергоспоживання;1858.50
Нафтопродукти;Об'єм енергоспоживання;924.56
Вугілля;Об'єм енергоспоживання;2674.65
Природний газ;Об'єм енергоспоживання;2411.17
Дрова;Об'єм енергоспоживання;37.58
Об'єм енергоспоживання;Оптимізація використання електроенергії;1858.50
Об'єм енергоспоживання;Оптимізація використання нафтопродуктів;924.56
Об'єм енергоспоживання;Оптимізація використання вугілля;2674.65
Об'єм енергоспоживання;Оптимізація використання природний газ;2411.17
Об'єм енергоспоживання;Оптимізація використання дров;37.58
Оптимізація використання електроенергії;Потенціал сонячної  енергі;147.398669823134
Оптимізація використання електроенергії;Потенціал малих рік;69.2132884386892
Оптимізація використання електроенергії;Теплота грунту та грунтових вод;328.763120083774
Оптимізація використання електроенергії;Теплової енергії стічних вод;153.166443859692
Оптимізація використання електроенергії;Вітрова енергія;48.0647836379786
Оптимізація використання електроенергії;Незамінний об'єм електроенергії;1111.89866149191
Оптимізація використання нафтопродуктів;Потенціал тваринницької біомаси (Паливо);1301.81161382255
Оптимізація використання нафтопродуктів;Потенціал  рослинницької біомаси (Паливо);873.753680160267
Оптимізація використання нафтопродуктів;Незамінний об'єм нафтопродуктів;0
Оптимізація використання вугілля;Потенціал  рослинницької біомаси (Паливо);262.12610404808
Оптимізація використання вугілля; Торф;22.1738868516541
Оптимізація використання вугілля;Незамінний об'єм вугілля;2390.34774134243
Оптимізація використання природний газ;Потенціал тваринницької біомаси (Біогаз);1884.52022976629
Оптимізація використання природний газ;Потенціал геотермальної енергії;0
Оптимізація використання природний газ;Потенціал надлишкового тиску доменного газу;0
Оптимізація використання природний газ;Потенціал надлишкового тиску природного газу;24.9936874917489
Оптимізація використання природний газ;Незамінний об'єм природного газу;501.656747089403
Оптимізація використання дров;Потенціал відходів лісу;12.963341456017
Оптимізація використання дров;Незамінний об'єм дров;24.6145802973117
